canonical_smiles,ROS,CTX
COC(=O)c1ccc(O)cc1,0.0,0.0
COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,0.0,1.0
COC1=C(OC)C(=O)c2ccccc2C1=O,1.0,1.0
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1.0,0.0
COC1=CC(=O)OC(C=Cc2ccc3c(c2)OCO3)C1,0.0,
COC1=CC(=O)OC(C=Cc2ccccc2)C1,0.0,0.0
COC1=CC(=O)OC(CCc2ccc3c(c2)OCO3)C1,0.0,0.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,1.0,1.0
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,0.0,1.0
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0.0,0.0
COc1cc(C=Cc2ccccc2)oc(=O)c1,1.0,1.0
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.0,0.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.0,0.0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1.0,1.0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2,1.0,
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,0.0,1.0
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)C1C=COC1O2,1.0,1.0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.0,0.0
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,1.0,
COc1ccc(C=Cc2cc(OC)cc(=O)o2)cc1,0.0,1.0
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.0,1.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.0,1.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.0,
COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.0,0.0
COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(OC1CC(N)C(O)C(C)O1)=CC(O)(C(=O)CO)C4,0.0,
COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(OC1CC(N)C(O)C(C)O1)=CC(O)(C(C)=O)C4,0.0,
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,0.0,1.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,1.0
Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,0.0,0.0
Cc1cc(C)nc(C)c1,0.0,0.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.0,1.0
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0.0,1.0
